id,user,text
681760842400927744,NoahJMcDonald,Coool video of man attacked on beach! #run #afraid #beach #bikini #awolnation #music #jonmala https://vine.co/v/eXudDWX1lpl/embed/simple via @vineapp
681743724594987008,FriendOfMino,@MrNegroMilitant I Don't! I'm just #Afraid #Others #Might. Remember #LosAngeles! Or what #Results Do you #Expect? #Peace #Love #Justice!
681732242683596800,martinmelia,Be #afraid Be very afraid http://www.zazzle.com/be_afraid_be_very_afraid-235932974901977352?rf=238931451543010953 @AddThis #martinspixs #zazzle #Like2
681731415260581889,marketingeyeaus,"Take risks and don't be afraid, you never know where you might end up. http://www.marketingeye.com.au/marketing-blog/mellissah-smith/alive-and-very-much-so-tolstoy-s-diary-entry-for-november-19-1889-begins-and-so-does-mine.html #risk #afraid #challenge"
681678968383090688,seensjet,@paislanderr or fight Doughty if he wants to go. #afraid
681678292424982528,frugalmaniac,Why be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow pic.twitter.com/i9QRhoNUH6
681676890298384384,Mark_Minard,I am NOT #afraid to be terrible! - Mark Minard
681664091451043841,VictorFThomas,Why are you so #afraid of #subjective #moral #reasoning? http://youtu.be/0218GkAGbnU
681661959511605253,cynthiafogoe,Be #afraid of the #quiet ones
681655827619557376,TuttoParioli,This #bird was #huge and not #afraid of #people either. This was on a walk along the #tiberriver… https://www.instagram.com/p/_26E0FSzY7/ by selfreflected
681655286575185920,Mulanting,Learn Chinese from the very beginning. #WordOfTheDay #ChineseWords #Chinese #Afraid #中文 #怕
681652242999603200,Travel__Videos,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
681632170054676480,mrjulesdrop,@BBCMOTD @norwichcity are coming for you all .... Be #afraid be really @afraid ...
681617556789133312,JV_Aka_Kaoru,Pain... http://vshakeitout.blogspot.com/2015/12/pain.html #pain #love #hate #afraid #feelings
681604421717987328,DrEdwardG,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
681590599112388612,Cynthiapoet,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
681581596324052992,radio_zone26,@thenbhd - Afraid http://radiozone26.com/the-neighbourhood-afraid/ #RZ26 #Afraid 
681566411551031296,PoetikGenius,On set of #Afraid (Ft) Leona Harper https://www.instagram.com/p/_2SYkKE3df/
681558178404921344,frugalmaniac,Do not be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow
681518418336563200,KiraAkila,Sometimes it feels like you're drifting away. Sometimes I'm terrified that you won't stay. #heartbreak #love #alone #missyou #afraid
681505201086283776,FactsEmpire1,"You're not afraid to fall in #love, you're just #afraid of falling for the wrong person."
681501665753739265,Fosterkidsrock,@OprahsLifeclass http://www.sophiawilliams.tateauthor.com #childabuse #adoption the #mask people wear to get what they want #afraid 
681500782697517056,1AndyYoung,Sometimes what you're most afraid of doing is the very thing that will set you free. #fear #afraid #freedom
681499619763814401,Fosterkidsrock,@OWNTV http://www.sophiawilliams.tateauthor.com #brokenhearted #broken #adoption #Abandoned #abused #rape #alone #motherless #afraid #fear #grouphome living
681498765883133952,scott_weller,But don't be #afraid to take a giant leap forward if the #opportunity presents itself! #Make16Pristine #Go4it... http://fb.me/4uBiIB0dz
681498750741680132,RealScottWeller,But don't be #afraid to take a giant leap forward if the #opportunity presents… https://www.instagram.com/p/_1zm_gE42K/
681491127627853824,kellybalarie,"#God loves our all, we need not be #afraid of his all. http://ow.ly/Wn76G #faith #hope"
681489893336440836,PanicCompanion,Trigger Point Tools for Anxiety! http://buff.ly/1NJJRHr #mentalillness #mentalhealth #fear #afraid #healthyhabits
681489028449964032,LibraLovePeace,I think I found someone I may pursue if only I wasn't so #afraid to be left alone and #brokenhearted 🤔🙁
681441563856252929,nsquidgy,Fuck you anyway .... #theneighbourhood #afraid #NowPlaying
681436721658073088,frugalmaniac,Are you #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow pic.twitter.com/i9QRhoNUH6
681415218262589440,realgaymania,RT ITItnews http://buff.ly/1RI1lYD #ReportDevelopmentwithSQLServerReportingServices #Shocked #publishing #Afraid… 
681398716318773248,Mr_gallivanter,Don't be #afraid to start over... 
681395508321992704,apink_panther99,"Lord Jesus!! A tornado warning until 3:30 am!!! Please Father, protect us!!! #scared #nervous #afraid 😨😨😨😨😨😲😲😲😲😲🙈🙉🙊"
